/Enable X,/Enable Y,/A2 X,/A2 Y,/A1 X,/A1 Y,/A0 X,/A0 Y,/D7 X,/D7 Y,/D6 X,/D6 Y,/D5 X,/D5 Y,/D4 X,/D4 Y,/D3 X,/D3 Y,/D2 X,/D2 Y,/D1 X,/D1 Y,/D0 X,/D0 Y
0,1,0,0,0,1,0,1,0,1.146624587201447e-05,0,1.146337073768174e-05,0,1.146348300377757e-05,0,1.146323446453665e-05,0,0.9999890185928632,0,1.146634275039716e-05,0,1.146634295115906e-05,0,1.146349267510671e-05
4.394660823089762e-12,0.9121067835382047,4.394660823089762e-12,0.0109866520577244,4.394660823089762e-12,0.9780266958845512,4.394660823089762e-12,0.9560533917691024,4.394660823089762e-12,-0.0003315296058435116,4.394660823089762e-12,-5.063622490564362e-05,4.394660823089762e-12,-0.0002065349420799756,4.394660823089762e-12,-1.747538572146625e-05,4.394660823089762e-12,0.9991931498863628,4.394660823089762e-12,-0.0001111445571044671,4.394660823089762e-12,-0.000329168744681241,4.394660823089762e-12,-5.296282257396348e-05
8.628050483337334e-12,0.8274389903332533,8.628050483337334e-12,0.02157012620834333,8.628050483337334e-12,0.9568597475833134,8.628050483337334e-12,0.9137194951666266,8.628050483337334e-12,-0.0003391826307653522,8.628050483337334e-12,-3.794512504528277e-05,8.628050483337334e-12,-0.0001749152814652588,8.628050483337334e-12,-5.451488150737361e-06,8.628050483337334e-12,0.9990528458588144,8.628050483337334e-12,-0.0001038972646727651,8.628050483337334e-12,-0.0003281912539618618,8.628050483337334e-12,-3.521175586338455e-05
1.709482980383248e-11,0.6581034039233504,1.709482980383248e-11,0.0427370745095812,1.709482980383248e-11,0.9145258509808376,1.709482980383248e-11,0.8290517019616752,1.709482980383248e-11,-0.0001959809896318405,1.709482980383248e-11,-1.310215252878952e-05,1.709482980383248e-11,-5.543764734537102e-05,1.709482980383248e-11,4.756672439337447e-06,1.709482980383248e-11,0.999441926866433,1.709482980383248e-11,-5.769679698995501e-05,1.709482980383248e-11,-0.0001710003267143974,1.709482980383248e-11,-6.079332064179043e-06
2.378419887010483e-11,0.5243160225979033,2.378419887010483e-11,0.05946049717526208,2.378419887010483e-11,0.8810790056494758,2.378419887010483e-11,0.7621580112989517,2.378419887010483e-11,-3.473552185857933e-05,2.378419887010483e-11,-8.672356992772975e-06,2.378419887010483e-11,5.747559013207092e-06,2.378419887010483e-11,-9.983765268481993e-07,2.378419887010483e-11,1.00076690673624,2.378419887010483e-11,-2.479975327102682e-05,2.378419887010483e-11,-1.226984755896655e-05,2.378419887010483e-11,-4.249461640195516e-06
3.047820454934051e-11,0.3904359090131898,3.047820454934051e-11,0.07619551137335127,3.047820454934051e-11,0.8476089772532974,3.047820454934051e-11,0.6952179545065948,3.047820454934051e-11,7.254835083704942e-05,3.047820454934051e-11,1.727184094923913e-05,3.047820454934051e-11,3.756923577249493e-05,3.047820454934051e-11,2.067592401167676e-05,3.047820454934051e-11,1.004433613395351,3.047820454934051e-11,2.422612577055769e-05,3.047820454934051e-11,8.313315191887957e-05,3.047820454934051e-11,2.077738421219966e-05
3.535399641095147e-11,0.2929200717809707,3.535399641095147e-11,0.08838499102737866,3.535399641095147e-11,0.8232300179452426,3.535399641095147e-11,0.6464600358904853,3.535399641095147e-11,0.0001450176363456973,3.535399641095147e-11,5.116431652793616e-05,3.535399641095147e-11,7.526042593956904e-05,3.535399641095147e-11,4.896136595184673e-05,3.535399641095147e-11,1.009844580983911,3.535399641095147e-11,7.521090643647892e-05,3.535399641095147e-11,0.0001469920916906519,3.535399641095147e-11,5.489875399475738e-05
3.956862303218761e-11,0.2086275393562479,3.956862303218761e-11,0.09892155758046901,3.956862303218761e-11,0.802156884839062,3.956862303218761e-11,0.604313769678124,3.956862303218761e-11,0.0001366301131593219,3.956862303218761e-11,3.789222192618715e-05,3.956862303218761e-11,5.624288851061034e-05,3.956862303218761e-11,3.236576305222008e-05,3.956862303218761e-11,1.013245320771311,3.956862303218761e-11,6.862953819600581e-05,3.956862303218761e-11,0.0001329825714935748,3.956862303218761e-11,4.080529962697706e-05
4.337459829303829e-11,0.1325080341392343,4.337459829303829e-11,0.1084364957325957,4.337459829303829e-11,0.7831270085348085,4.337459829303829e-11,0.5662540170696171,4.337459829303829e-11,-2.459840836102242e-05,4.337459829303829e-11,-0.0001134206837233389,4.337459829303829e-11,-0.0001028412770777642,4.337459829303829e-11,-0.0001213967743294883,4.337459829303829e-11,1.0030660832653,4.337459829303829e-11,-8.196908258954679e-05,4.337459829303829e-11,-3.084426277054435e-05,4.337459829303829e-11,-0.0001118490016778358
4.734171483320672e-11,0.05316570333586557,4.734171483320672e-11,0.1183542870830168,4.734171483320672e-11,0.7632914258339664,4.734171483320672e-11,0.5265828516679327,4.734171483320672e-11,-0.0004544904825647536,4.734171483320672e-11,-0.0005242436551976873,4.734171483320672e-11,-0.0005219396620304936,4.734171483320672e-11,-0.0005332630215858856,4.734171483320672e-11,0.9561594210733675,4.734171483320672e-11,-0.0004975419003554414,4.734171483320672e-11,-0.0004617199558105918,4.734171483320672e-11,-0.0005247484340714125
