/word X,/word Y,/BL X,/BL Y,/BL_b X,/BL_b Y,/Q X,/Q Y,/Q_b X,/Q_b Y
0,0,0,1,0,0,0,0.9999999736636993,0,1.532431346096095e-08
1.656585162314332e-11,0,1.656585162314332e-11,0.8343414837685669,1.656585162314332e-11,0.1656585162314332,1.656585162314332e-11,0.9983850263666449,1.656585162314332e-11,0.0003202300720950545
3.049568554729647e-11,0,3.049568554729647e-11,0.6950431445270353,3.049568554729647e-11,0.3049568554729647,3.049568554729647e-11,0.9978953829743763,3.049568554729647e-11,0.0003329474535943237
4.916504833478336e-11,0,4.916504833478336e-11,0.5083495166521664,4.916504833478336e-11,0.4916504833478336,4.916504833478336e-11,0.9974441211435843,4.916504833478336e-11,0.0003065994328997711
6.556056839736914e-11,0,6.556056839736914e-11,0.3443943160263087,6.556056839736914e-11,0.6556056839736913,6.556056839736914e-11,0.9972777070532137,6.556056839736914e-11,0.0002973759354643817
8.278028419868458e-11,0,8.278028419868458e-11,0.1721971580131543,8.278028419868458e-11,0.8278028419868457,8.278028419868458e-11,0.9876104022871703,8.278028419868458e-11,-5.337193347232407e-05
1e-10,0,1e-10,0,1e-10,1,1e-10,0.8889440626948798,1e-10,-0.002600119287581359
1.012920704173408e-10,0,1.012920704173408e-10,0,1.012920704173408e-10,1,1.012920704173408e-10,0.8838925155874351,1.012920704173408e-10,-0.001930069878120187
1.038762112520223e-10,0,1.038762112520223e-10,0,1.038762112520223e-10,1,1.038762112520223e-10,0.8788949838203376,1.038762112520223e-10,-0.000497268705541665
1.090444929213853e-10,0,1.090444929213853e-10,0,1.090444929213853e-10,1,1.090444929213853e-10,0.8775554856375239,1.090444929213853e-10,0.0004369974371611451
1.180339363360222e-10,0,1.180339363360222e-10,0,1.180339363360222e-10,1,1.180339363360222e-10,0.8792338193848367,1.180339363360222e-10,-9.682481405072155e-05
1.290859184547393e-10,0,1.290859184547393e-10,0,1.290859184547393e-10,1,1.290859184547393e-10,0.8789453175260363,1.290859184547393e-10,-0.0001025241456245416
1.511898826921735e-10,0,1.511898826921735e-10,0,1.511898826921735e-10,1,1.511898826921735e-10,0.8778087204107515,1.511898826921735e-10,9.987767860725845e-05
1.917785724406363e-10,0,1.917785724406363e-10,0,1.917785724406363e-10,1,1.917785724406363e-10,0.8785345854322694,1.917785724406363e-10,5.912104607956646e-05
2.72955951937562e-10,0,2.72955951937562e-10,0,2.72955951937562e-10,1,2.72955951937562e-10,0.8786685358208591,2.72955951937562e-10,1.992298350497616e-05
3.958197963617522e-10,0,3.958197963617522e-10,0,3.958197963617522e-10,1,3.958197963617522e-10,0.8783868437290592,3.958197963617522e-10,3.795245544835673e-05
