/word X,/word Y,/BL X,/BL Y,/BL_b X,/BL_b Y,/Q X,/Q Y,/Q_b X,/Q_b Y
0,0,0,0.9932511960393536,0,0.000443630867545295,0,1.559405449888637e-08,0,0.9995566030329283
3.90625e-14,0,3.90625e-14,0.9365629611594345,3.90625e-14,0.006830940749310148,3.90625e-14,-0.004370289824568472,3.90625e-14,0.9901810322105813
6.085043047288109e-14,0,6.085043047288109e-14,0.9143576613444075,6.085043047288109e-14,0.009519938820486936,6.085043047288109e-14,-0.00667723748540357,6.085043047288109e-14,0.9860219073245839
1.044262914186433e-13,0,1.044262914186433e-13,0.8818219272772585,1.044262914186433e-13,0.01405939887329243,1.044262914186433e-13,-0.01043631153007088,1.044262914186433e-13,0.9789774104874701
1.485013705285647e-13,0,1.485013705285647e-13,0.8654047398551683,1.485013705285647e-13,0.01773195312652638,1.485013705285647e-13,-0.01257398273117801,1.485013705285647e-13,0.9737130195176935
2.033819116128866e-13,0,2.033819116128866e-13,0.8528183178592124,2.033819116128866e-13,0.02196431722667807,2.033819116128866e-13,-0.01399334654140835,2.033819116128866e-13,0.9685690324284126
2.528941103954694e-13,0,2.528941103954694e-13,0.8449647617770067,2.528941103954694e-13,0.02540644234933268,2.528941103954694e-13,-0.01485198473844895,2.528941103954694e-13,0.9648380776941298
3.163531729076313e-13,0,3.163531729076313e-13,0.8374352721201253,3.163531729076313e-13,0.02940435350468726,3.163531729076313e-13,-0.01552582978684262,3.163531729076313e-13,0.9608175227341875
3.999390165114357e-13,0,3.999390165114357e-13,0.8300113530468304,3.999390165114357e-13,0.03406841582684206,3.999390165114357e-13,-0.01593818326759559,3.999390165114357e-13,0.9565130863035971
5.219653102757993e-13,0,5.219653102757993e-13,0.8219985119699338,5.219653102757993e-13,0.03991026432347769,5.219653102757993e-13,-0.01588942317391205,5.219653102757993e-13,0.9516183208057785
6.897943759597357e-13,0,6.897943759597357e-13,0.8139795720795574,6.897943759597357e-13,0.04653893053208518,6.897943759597357e-13,-0.01510225920938057,6.897943759597357e-13,0.9467156222611397
9.255207363807425e-13,0,9.255207363807425e-13,0.8058154355722676,9.255207363807425e-13,0.05395267543214666,9.255207363807425e-13,-0.01335060722799481,9.255207363807425e-13,0.942072063451174
1.255455302128397e-12,0,1.255455302128397e-12,0.7975628255521755,1.255455302128397e-12,0.06195627080806414,1.255455302128397e-12,-0.01062068805738862,1.255455302128397e-12,0.9381782661720034
1.720086772617714e-12,0,1.720086772617714e-12,0.7891765244913443,1.720086772617714e-12,0.07047862341508862,1.720086772617714e-12,-0.007212757264440116,1.720086772617714e-12,0.9354736731467573
2.370219991932235e-12,0,2.370219991932235e-12,0.7807023298189886,2.370219991932235e-12,0.07945559499255442,2.370219991932235e-12,-0.003830736704132398,2.370219991932235e-12,0.9343569949357948
3.232471859028378e-12,0,3.232471859028378e-12,0.7725132640849676,3.232471859028378e-12,0.08857331549645443,3.232471859028378e-12,-0.00131488870872408,3.232471859028378e-12,0.9350437984749715
4.457360312904533e-12,0,4.457360312904533e-12,0.7639935028986727,4.457360312904533e-12,0.09875420294586618,4.457360312904533e-12,0.0002131564822769878,4.457360312904533e-12,0.9378218304274015
6.235127690700832e-12,0,6.235127690700832e-12,0.7550085542654114,6.235127690700832e-12,0.11062078614488,6.235127690700832e-12,0.0007963295783919169,6.235127690700832e-12,0.943130418050634
8.716603789982866e-12,0,8.716603789982866e-12,0.7459826080213326,8.716603789982866e-12,0.1241405925032559,8.716603789982866e-12,0.0009366581317899877,8.716603789982866e-12,0.9509484163790435
1.220284904145641e-11,0,1.220284904145641e-11,0.736836444649543,1.220284904145641e-11,0.1396585785964092,1.220284904145641e-11,0.0007795229976435078,1.220284904145641e-11,0.9604951805184659
1.702219972447757e-11,0,1.702219972447757e-11,0.7277147940904642,1.702219972447757e-11,0.1566752436613666,1.702219972447757e-11,0.0005700199917502756,1.702219972447757e-11,0.9705645188007411
2.382246200382436e-11,0,2.382246200382436e-11,0.7183599141359039,2.382246200382436e-11,0.1747330578572004,2.382246200382436e-11,0.0003078551518591984,2.382246200382436e-11,0.9798955156397333
3.319962133451716e-11,0,3.319962133451716e-11,0.7089458372595014,3.319962133451716e-11,0.1922783804860028,3.319962133451716e-11,0.0001705235196128311,3.319962133451716e-11,0.987315888454665
4.553491965499709e-11,0,4.553491965499709e-11,0.6997876787186318,4.553491965499709e-11,0.2078074193512859,4.553491965499709e-11,5.755699036910205e-05,4.553491965499709e-11,0.9921554801938404
6.05365583828995e-11,0,6.05365583828995e-11,0.6913308079362208,6.05365583828995e-11,0.2204600555839415,6.05365583828995e-11,3.57645388638295e-05,6.05365583828995e-11,0.9949349357728229
7.946759698026558e-11,0,7.946759698026558e-11,0.6830153656935203,7.946759698026558e-11,0.2314138127562952,7.946759698026558e-11,3.676407580763746e-06,7.946759698026558e-11,0.9965738445184311
1e-10,0,1e-10,0.6757877330044652,1e-10,0.2399046674095376,1e-10,1.08384398587638e-05,1e-10,0.9974997046144891
1.330572525818354e-10,0,1.330572525818354e-10,0.6673769924390606,1.330572525818354e-10,0.248456245635164,1.330572525818354e-10,2.876454802380765e-06,1.330572525818354e-10,0.9981552043811086
1.839552998670578e-10,0,1.839552998670578e-10,0.6559303608463971,1.839552998670578e-10,0.2593589334459677,1.839552998670578e-10,-3.468909843025216e-07,1.839552998670578e-10,0.998796867589028
2.313412220014165e-10,0,2.313412220014165e-10,0.6474825526630956,2.313412220014165e-10,0.266480520099786,2.313412220014165e-10,8.667842466150947e-07,2.313412220014165e-10,0.9990498810238673
3.261130662701338e-10,0,3.261130662701338e-10,0.6338878030509743,3.261130662701338e-10,0.2766946484862765,3.261130662701338e-10,4.296789339679038e-07,3.261130662701338e-10,0.9993606909551249
4.358293800845704e-10,0,4.358293800845704e-10,0.6214929760068622,4.358293800845704e-10,0.2847622085919862,4.358293800845704e-10,1.398481646907525e-06,4.358293800845704e-10,0.9995078902070353
6.021446850794735e-10,0,6.021446850794735e-10,0.6063023379540529,6.021446850794735e-10,0.2933737820374684,6.021446850794735e-10,1.360471986091836e-06,6.021446850794735e-10,0.9996426360792036
8.179551942630544e-10,0,8.179551942630544e-10,0.5903453615448544,8.179551942630544e-10,0.3010684344359255,8.179551942630544e-10,2.107390980107152e-06,8.179551942630544e-10,0.9997173784460788
1.136397524916521e-09,0,1.136397524916521e-09,0.5711251439684297,1.136397524916521e-09,0.308850854381511,1.136397524916521e-09,2.060490713272109e-06,1.136397524916521e-09,0.9997851126150117
1.566230484235737e-09,0,1.566230484235737e-09,0.5499943125152685,1.566230484235737e-09,0.3158584498307561,1.566230484235737e-09,2.662306035818434e-06,1.566230484235737e-09,0.9998199742680802
1.983115242117869e-09,0,1.983115242117869e-09,0.5328564489059426,1.983115242117869e-09,0.3205426342057988,1.983115242117869e-09,2.511934779467719e-06,1.983115242117869e-09,0.999847425040679
2.4e-09,0,2.4e-09,0.5179447378174008,2.4e-09,0.3240005300174339,2.4e-09,2.933972463475571e-06,2.4e-09,0.999856055586174
2.408585981791014e-09,0.1717196358202654,2.408585981791014e-09,0.5192770760218793,2.408585981791014e-09,0.3261039350386863,2.408585981791014e-09,0.0004391398339280892,2.408585981791014e-09,1.002969051177328
2.418190385854416e-09,0.3638077170883163,2.418190385854416e-09,0.5176094934217569,2.418190385854416e-09,0.3286917147202342,2.418190385854416e-09,0.001234503802231719,2.418190385854416e-09,1.003545474432246
2.424001387865133e-09,0.4800277573026513,2.424001387865133e-09,0.507176559831759,2.424001387865133e-09,0.3314241447054015,2.424001387865133e-09,0.003753090203230569,2.424001387865133e-09,1.003071180355672
2.432223910787853e-09,0.6444782157570537,2.432223910787853e-09,0.4549700755603049,2.432223910787853e-09,0.3460235064131186,2.432223910787853e-09,0.01048319045452427,2.432223910787853e-09,0.9961333496621696
2.438606634376338e-09,0.7721326875267478,2.438606634376338e-09,0.3744293132220812,2.438606634376338e-09,0.3746426361691938,2.438606634376338e-09,0.01643552825510258,2.438606634376338e-09,0.9813736757779532
2.444303317188169e-09,0.8860663437633701,2.444303317188169e-09,0.273739136925961,2.444303317188169e-09,0.4156230032610206,2.444303317188169e-09,0.02080331072309527,2.444303317188169e-09,0.9631983394242383
2.45e-09,1,2.45e-09,0.1669439298949413,2.45e-09,0.4674819437753365,2.45e-09,0.01981821491119954,2.45e-09,0.9445528819769411
2.451347201310993e-09,1,2.451347201310993e-09,0.1449083594581649,2.451347201310993e-09,0.4790205080554097,2.451347201310993e-09,0.01789427263215391,2.451347201310993e-09,0.9414140474407415
2.453559285637879e-09,1,2.453559285637879e-09,0.1119737880061109,2.453559285637879e-09,0.4966078254891287,2.453559285637879e-09,0.01498514639905089,2.453559285637879e-09,0.9386538954445536
