/word X,/word Y,/BL X,/BL Y,/BL_b X,/BL_b Y,/Q X,/Q Y,/Q_b X,/Q_b Y
0,0,0,1,0,0,0,0.4293850665994786,0,0.4293915856298116
6.250000000000001e-13,0,6.250000000000001e-13,0.99375,6.250000000000001e-13,0.00625,6.250000000000001e-13,0.4291605216582779,6.250000000000001e-13,0.4297552692240294
1.875e-12,0,1.875e-12,0.98125,1.875e-12,0.01875,1.875e-12,0.4284714257621999,1.875e-12,0.4306328104163623
4.374999999999999e-12,0,4.374999999999999e-12,0.95625,4.374999999999999e-12,0.04374999999999999,4.374999999999999e-12,0.4265162532684614,4.374999999999999e-12,0.4327952879396158
7.508247396133887e-12,0,7.508247396133887e-12,0.9249175260386612,7.508247396133887e-12,0.07508247396133887,7.508247396133887e-12,0.4219022052199803,7.508247396133887e-12,0.4373281500816053
1.377474218840166e-11,0,1.377474218840166e-11,0.8622525781159833,1.377474218840166e-11,0.1377474218840166,1.377474218840166e-11,0.3909873647424768,1.377474218840166e-11,0.4649280080895667
1.863349243943607e-11,0,1.863349243943607e-11,0.8136650756056393,1.863349243943607e-11,0.1863349243943607,1.863349243943607e-11,0.3195837856746827,1.863349243943607e-11,0.5178609546393681
2.26888504157714e-11,0,2.26888504157714e-11,0.773111495842286,2.26888504157714e-11,0.226888504157714,2.26888504157714e-11,0.1921673490477543,2.26888504157714e-11,0.5933700647734758
2.600714627671179e-11,0,2.600714627671179e-11,0.7399285372328821,2.600714627671179e-11,0.2600714627671178,2.600714627671179e-11,0.07159917893450125,2.600714627671179e-11,0.680173844978455
2.779969051774274e-11,0,2.779969051774274e-11,0.7220030948225726,2.779969051774274e-11,0.2779969051774274,2.779969051774274e-11,0.03525171689379766,2.779969051774274e-11,0.7358256593624813
2.959285954339646e-11,0,2.959285954339646e-11,0.7040714045660355,2.959285954339646e-11,0.2959285954339645,2.959285954339646e-11,0.01897127766257249,2.959285954339646e-11,0.7910321196575034
3.207053193133493e-11,0,3.207053193133493e-11,0.6792946806866508,3.207053193133493e-11,0.3207053193133492,3.207053193133493e-11,0.009839525997794495,3.207053193133493e-11,0.8549230287835838
3.398786554886263e-11,0,3.398786554886263e-11,0.6601213445113737,3.398786554886263e-11,0.3398786554886263,3.398786554886263e-11,0.007011461604585425,3.398786554886263e-11,0.8927675528204985
3.659412600424078e-11,0,3.659412600424078e-11,0.6340587399575921,3.659412600424078e-11,0.3659412600424078,3.659412600424078e-11,0.00424626751602,3.659412600424078e-11,0.9300978389460401
